name,super_family,pipeline,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
gaussian_noise_sev3,Noise+Geometric,CILN,0.063750,0.089100,0.177150,0.070175,0.067925,0.047825,0.327500,0.046425,0.055225,0.054925
gaussian_noise_sev5,Noise+Geometric,CILN,0.058225,0.082725,0.196125,0.064975,0.052550,0.035600,0.394200,0.033700,0.041025,0.040875
glass_blur_sev1,Blur,CILN,0.143125,0.044875,0.163950,0.059075,0.069150,0.022000,0.364625,0.043825,0.076350,0.013025
glass_blur_sev3,Blur,CILN,0.099625,0.028500,0.174050,0.043550,0.080400,0.023025,0.401925,0.043825,0.083525,0.021575
glass_blur_sev5,Blur,CILN,0.085525,0.017975,0.199450,0.027350,0.065675,0.008250,0.500175,0.024175,0.064925,0.006500
impulse_noise_sev1,Noise+Geometric,CILN,0.130550,0.108250,0.087100,0.110725,0.086050,0.088400,0.097000,0.102200,0.086775,0.102950
impulse_noise_sev3,Noise+Geometric,CILN,0.129800,0.155450,0.085425,0.112475,0.061975,0.068175,0.117200,0.080575,0.062250,0.126675
impulse_noise_sev5,Noise+Geometric,CILN,0.077225,0.278475,0.104950,0.077775,0.037525,0.063100,0.212250,0.044800,0.038525,0.065375
jpeg_compression_sev1,Digital,CILN,0.091250,0.103875,0.095900,0.105725,0.101375,0.092975,0.101925,0.101725,0.110275,0.094975
jpeg_compression_sev3,Digital,CILN,0.093575,0.102725,0.084675,0.110150,0.101600,0.097875,0.089725,0.107075,0.114725,0.097875
jpeg_compression_sev5,Digital,CILN,0.100000,0.103125,0.075775,0.117025,0.097475,0.102800,0.076625,0.110050,0.116825,0.100300
motion_blur_sev1,Blur,CILN,0.098275,0.106400,0.119375,0.124125,0.087400,0.097900,0.082625,0.099550,0.099375,0.084975
motion_blur_sev3,Blur,CILN,0.101050,0.105900,0.150475,0.172025,0.074525,0.086325,0.067875,0.083600,0.102900,0.055325
motion_blur_sev5,Blur,CILN,0.106825,0.102475,0.160425,0.199075,0.068425,0.077150,0.060750,0.074900,0.106950,0.043025
pixelate_sev1,Digital,CILN,0.097825,0.099700,0.101150,0.094950,0.096150,0.093525,0.090100,0.111050,0.108400,0.107150
pixelate_sev3,Digital,CILN,0.097125,0.084450,0.086875,0.074050,0.097050,0.070750,0.077125,0.112875,0.143925,0.155775
pixelate_sev5,Digital,CILN,0.071650,0.024775,0.072975,0.036475,0.045400,0.033100,0.022150,0.086525,0.300775,0.306175
shot_noise_sev1,Noise+Geometric,CILN,0.082550,0.104425,0.120375,0.095250,0.102800,0.086575,0.120825,0.092150,0.102075,0.092975
shot_noise_sev3,Noise+Geometric,CILN,0.063950,0.101050,0.158300,0.076825,0.084050,0.055600,0.264250,0.059500,0.069950,0.066525
shot_noise_sev5,Noise+Geometric,CILN,0.055600,0.093825,0.177750,0.076625,0.061750,0.039525,0.363700,0.039000,0.044150,0.048075
snow_sev1,Weather,CILN,0.112300,0.103125,0.094200,0.102750,0.097350,0.089950,0.099125,0.104425,0.097975,0.098800
snow_sev3,Weather,CILN,0.109750,0.098575,0.093075,0.105975,0.102850,0.084200,0.106475,0.101350,0.098350,0.099400
snow_sev5,Weather,CILN,0.097950,0.089100,0.103625,0.122675,0.108750,0.078475,0.109700,0.090100,0.104775,0.094850
zoom_blur_sev1,Blur,CILN,0.094900,0.108250,0.116025,0.121375,0.086975,0.113050,0.077000,0.103150,0.098150,0.081125
zoom_blur_sev3,Blur,CILN,0.096875,0.100675,0.119125,0.159150,0.086175,0.109625,0.063175,0.098275,0.095825,0.071100
zoom_blur_sev5,Blur,CILN,0.105750,0.089175,0.133325,0.211750,0.087450,0.097625,0.048225,0.088125,0.088250,0.050325
PL-IDN_low,-,PL-IDN,0.101561,0.099575,0.095052,0.096808,0.100665,0.097458,0.105869,0.101801,0.098769,0.102442
PL-IDN_medium,-,PL-IDN,0.095407,0.094351,0.096688,0.085606,0.112933,0.080447,0.136184,0.094231,0.106109,0.098044
PL-IDN_high,-,PL-IDN,0.085030,0.071111,0.074388,0.153090,0.089218,0.064762,0.143869,0.065933,0.078606,0.173993
CIFAR-10H,-,CIFAR-10H,0.097477,0.101002,0.100570,0.098821,0.093795,0.103537,0.100373,0.103647,0.100480,0.100296
