/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
condition=gu_high seed=1 gpu=1
  ep   0: acc1=28.81%  acc2=32.08%  ens=30.45%  (best 30.45 @ ep 0)  [7.8s]
  ep  33: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [41.9s]
  ep  34: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.2s]
  ep  35: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [155.9s]
  ep  36: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [35.1s]
  ep  37: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.0s]
  ep  38: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.3s]
  ep  39: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [40.8s]
  ep  40: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.6s]
  ep  41: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [84.1s]
  ep  42: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [38.6s]
  ep  43: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.9s]
  ep  44: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [34.7s]
  ep  45: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.1s]
  ep  46: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [62.0s]
  ep  47: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.5s]
  ep  48: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [130.9s]
  ep  49: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.3s]
  ep  50: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [46.7s]  [w on clean=0.799, on noisy=0.536]
  ep  51: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.1s]
  ep  52: acc1=10.00%  acc2=10.01%  ens=10.01%  (best 59.74 @ ep 9)  [50.2s]
  ep  53: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [33.7s]
  ep  54: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [58.9s]
  ep  55: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [33.0s]
  ep  56: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [42.8s]
  ep  57: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.3s]
  ep  58: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [36.2s]
  ep  59: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.3s]
  ep  60: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [60.2s]
  ep  61: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.1s]
  ep  62: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [33.2s]
  ep  63: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.2s]
  ep  64: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [33.2s]
  ep  65: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.4s]
  ep  66: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [60.7s]
  ep  67: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.2s]
  ep  68: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [120.7s]
  ep  69: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [33.0s]
  ep  70: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [114.6s]
  ep  71: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.1s]
  ep  72: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [45.4s]
  ep  73: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.8s]
  ep  74: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [47.8s]
  ep  75: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [35.3s]  [w on clean=0.799, on noisy=0.536]
  ep  76: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [64.9s]
  ep  77: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.8s]
  ep  78: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [69.0s]
  ep  79: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.6s]
  ep  80: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [86.2s]
  ep  81: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.4s]
  ep  82: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [33.8s]
  ep  83: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [34.9s]
  ep  84: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [35.3s]
  ep  85: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.2s]
  ep  86: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.2s]
  ep  87: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.6s]
  ep  88: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [47.6s]
  ep  89: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [98.9s]
  ep  90: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.2s]
  ep  91: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [57.6s]
  ep  92: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.5s]
  ep  93: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.7s]
  ep  94: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [30.6s]
  ep  95: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [44.1s]
  ep  96: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.0s]
  ep  97: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [123.9s]
  ep  98: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [33.0s]
  ep  99: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [34.8s]  [w on clean=0.799, on noisy=0.536]

saved /path/to/ciln-workspace/journal_edition/robustness_transfer/results_v3/dividemix/gu_high__seed1.json: best ens-acc 59.74% @ ep 9
saved /path/to/ciln-workspace/journal_edition/robustness_transfer/results_v3/dividemix/gu_high__seed1__persample.npz
