dataset,setting,variant,method,image_source,n_seeds,mean_best_test_acc,std_best_test_acc,sampled_noise_rate,n_train,recall_class0,recall_class1
adult,missing_mcar_sev1,C,coteaching,noisy,3,0.8444,0.0001,0.0163,10629,0.9226,0.6070
adult,missing_mcar_sev1,C,erm,clean,3,0.7526,0.0005,0.0163,10629,0.9999,0.0020
adult,missing_mcar_sev1,C,erm,noisy,3,0.8441,0.0005,0.0163,10629,0.9207,0.6115
adult,missing_mcar_sev1,S,coteaching,clean,3,0.7533,0.0010,0.1581,13566,0.9984,0.0093
adult,missing_mcar_sev1,S,coteaching,noisy,3,0.8402,0.0001,0.1581,13566,0.9211,0.5946
adult,missing_mcar_sev1,S,erm,clean,3,0.7523,0.0002,0.1581,13566,0.9998,0.0011
adult,missing_mcar_sev1,S,erm,noisy,3,0.8461,0.0019,0.1581,13566,0.9222,0.6155
adult,missing_mcar_sev3,C,coteaching,clean,3,0.7526,0.0005,0.0730,10629,0.9994,0.0037
adult,missing_mcar_sev3,C,coteaching,noisy,3,0.8441,0.0004,0.0730,10629,0.9247,0.5995
adult,missing_mcar_sev3,C,erm,clean,3,0.7524,0.0003,0.0730,10629,0.9997,0.0019
adult,missing_mcar_sev3,C,erm,noisy,3,0.8438,0.0009,0.0730,10629,0.9226,0.6046
adult,missing_mcar_sev3,S,coteaching,clean,3,0.7533,0.0014,0.1966,13566,0.9992,0.0070
adult,missing_mcar_sev3,S,coteaching,noisy,3,0.8412,0.0012,0.1966,13566,0.9167,0.6121
adult,missing_mcar_sev3,S,erm,clean,3,0.7525,0.0004,0.1966,13566,0.9996,0.0026
adult,missing_mcar_sev3,S,erm,noisy,3,0.8460,0.0029,0.1966,13566,0.9267,0.6014
adult,missing_mcar_sev5,C,coteaching,clean,3,0.7533,0.0020,0.1441,10629,0.9961,0.0165
adult,missing_mcar_sev5,C,coteaching,noisy,3,0.8432,0.0005,0.1441,10629,0.9224,0.6027
adult,missing_mcar_sev5,C,erm,clean,3,0.7523,0.0001,0.1441,10629,0.9999,0.0008
adult,missing_mcar_sev5,C,erm,noisy,3,0.8431,0.0008,0.1441,10629,0.9236,0.5986
adult,missing_mcar_sev5,S,coteaching,clean,3,0.7525,0.0003,0.2467,13566,0.9999,0.0014
adult,missing_mcar_sev5,S,coteaching,noisy,3,0.8417,0.0015,0.2467,13566,0.9118,0.6289
adult,missing_mcar_sev5,S,erm,clean,3,0.7534,0.0014,0.2467,13566,0.9993,0.0073
adult,missing_mcar_sev5,S,erm,noisy,3,0.8448,0.0028,0.2467,13566,0.9224,0.6091
adult,missing_mnar_sev1,C,coteaching,clean,3,0.7525,0.0002,0.0185,10629,0.9992,0.0039
adult,missing_mnar_sev1,C,coteaching,noisy,3,0.8443,0.0011,0.0185,10629,0.9218,0.6089
adult,missing_mnar_sev1,C,erm,clean,3,0.7528,0.0004,0.0185,10629,0.9981,0.0083
adult,missing_mnar_sev1,C,erm,noisy,3,0.8438,0.0005,0.0185,10629,0.9227,0.6043
adult,missing_mnar_sev1,S,coteaching,clean,3,0.7539,0.0003,0.1569,13566,0.9973,0.0152
adult,missing_mnar_sev1,S,coteaching,noisy,3,0.8396,0.0007,0.1569,13566,0.9257,0.5785
adult,missing_mnar_sev1,S,erm,clean,3,0.7526,0.0006,0.1569,13566,0.9986,0.0062
adult,missing_mnar_sev1,S,erm,noisy,3,0.8457,0.0015,0.1569,13566,0.9265,0.6003
adult,missing_mnar_sev3,C,coteaching,clean,3,0.7523,0.0001,0.0921,10629,0.9997,0.0014
adult,missing_mnar_sev3,C,coteaching,noisy,3,0.8420,0.0013,0.0921,10629,0.9255,0.5886
adult,missing_mnar_sev3,C,erm,clean,3,0.7523,0.0002,0.0921,10629,0.9996,0.0017
adult,missing_mnar_sev3,C,erm,noisy,3,0.8411,0.0004,0.0921,10629,0.9212,0.5977
adult,missing_mnar_sev3,S,coteaching,clean,3,0.7522,0.0000,0.2048,13566,1.0000,0.0001
adult,missing_mnar_sev3,S,coteaching,noisy,3,0.8349,0.0009,0.2048,13566,0.9219,0.5708
adult,missing_mnar_sev3,S,erm,clean,3,0.7522,0.0000,0.2048,13566,1.0000,0.0001
adult,missing_mnar_sev3,S,erm,noisy,3,0.8433,0.0008,0.2048,13566,0.9215,0.6061
adult,missing_mnar_sev5,C,coteaching,clean,3,0.7522,0.0000,0.1732,10629,1.0000,0.0000
adult,missing_mnar_sev5,C,coteaching,noisy,3,0.8315,0.0029,0.1732,10629,0.9252,0.5473
adult,missing_mnar_sev5,C,erm,clean,3,0.7523,0.0001,0.1732,10629,0.9997,0.0015
adult,missing_mnar_sev5,C,erm,noisy,3,0.8341,0.0007,0.1732,10629,0.9092,0.6063
adult,missing_mnar_sev5,S,coteaching,clean,3,0.7522,0.0000,0.2638,13566,1.0000,0.0000
adult,missing_mnar_sev5,S,coteaching,noisy,3,0.8300,0.0028,0.2638,13566,0.9296,0.5277
adult,missing_mnar_sev5,S,erm,clean,3,0.7525,0.0001,0.2638,13566,0.9999,0.0016
adult,missing_mnar_sev5,S,erm,noisy,3,0.8342,0.0020,0.2638,13566,0.9158,0.5865
adult,scaling_sev1,C,coteaching,clean,3,0.7526,0.0003,0.0186,10629,0.9998,0.0023
adult,scaling_sev1,C,coteaching,noisy,3,0.8439,0.0008,0.0186,10629,0.9272,0.5909
adult,scaling_sev1,C,erm,clean,3,0.7525,0.0002,0.0186,10629,0.9993,0.0036
adult,scaling_sev1,C,erm,noisy,3,0.8439,0.0004,0.0186,10629,0.9215,0.6084
adult,scaling_sev1,S,coteaching,clean,3,0.7533,0.0002,0.1594,13566,0.9952,0.0190
adult,scaling_sev1,S,coteaching,noisy,3,0.8401,0.0003,0.1594,13566,0.9220,0.5917
adult,scaling_sev1,S,erm,clean,3,0.7528,0.0004,0.1594,13566,0.9983,0.0079
adult,scaling_sev1,S,erm,noisy,3,0.8461,0.0029,0.1594,13566,0.9208,0.6196
adult,scaling_sev3,C,coteaching,clean,3,0.7530,0.0006,0.0872,10629,0.9927,0.0253
adult,scaling_sev3,C,coteaching,noisy,3,0.8436,0.0007,0.0872,10629,0.9214,0.6073
adult,scaling_sev3,C,erm,clean,3,0.7523,0.0001,0.0872,10629,0.9996,0.0015
adult,scaling_sev3,C,erm,noisy,3,0.8437,0.0003,0.0872,10629,0.9193,0.6143
adult,scaling_sev3,S,coteaching,clean,3,0.7550,0.0021,0.2045,13566,0.9961,0.0229
adult,scaling_sev3,S,coteaching,noisy,3,0.8402,0.0005,0.2045,13566,0.9204,0.5968
adult,scaling_sev3,S,erm,clean,3,0.7528,0.0005,0.2045,13566,0.9991,0.0054
adult,scaling_sev3,S,erm,noisy,3,0.8450,0.0019,0.2045,13566,0.9207,0.6155
adult,scaling_sev5,C,coteaching,clean,3,0.7522,0.0001,0.1725,10629,0.9965,0.0110
adult,scaling_sev5,C,coteaching,noisy,3,0.8433,0.0010,0.1725,10629,0.9242,0.5978
adult,scaling_sev5,C,erm,clean,3,0.7522,0.0001,0.1725,10629,1.0000,0.0003
adult,scaling_sev5,C,erm,noisy,3,0.8440,0.0007,0.1725,10629,0.9243,0.6002
adult,scaling_sev5,S,coteaching,clean,3,0.7558,0.0017,0.2594,13566,0.9737,0.0947
adult,scaling_sev5,S,coteaching,noisy,3,0.8402,0.0005,0.2594,13566,0.9230,0.5890
adult,scaling_sev5,S,erm,clean,3,0.7528,0.0004,0.2594,13566,0.9972,0.0111
adult,scaling_sev5,S,erm,noisy,3,0.8441,0.0022,0.2594,13566,0.9173,0.6218
agnews,butter_fingers_sev1,C,coteaching,clean,3,0.8769,0.0014,0.0322,35066,0.8681,0.9695
agnews,butter_fingers_sev1,C,coteaching,noisy,3,0.8799,0.0011,0.0322,35066,0.8725,0.9795
agnews,butter_fingers_sev1,C,erm,clean,3,0.8663,0.0017,0.0322,35066,0.8539,0.9718
agnews,butter_fingers_sev1,C,erm,noisy,3,0.8738,0.0008,0.0322,35066,0.8572,0.9698
agnews,butter_fingers_sev1,S,coteaching,clean,3,0.8878,0.0020,0.1309,50000,0.8793,0.9684
agnews,butter_fingers_sev1,S,coteaching,noisy,3,0.8929,0.0012,0.1309,50000,0.8788,0.9725
agnews,butter_fingers_sev1,S,erm,clean,3,0.8800,0.0017,0.1309,50000,0.8751,0.9598
agnews,butter_fingers_sev1,S,erm,noisy,3,0.8824,0.0015,0.1309,50000,0.8763,0.9691
agnews,butter_fingers_sev3,C,coteaching,clean,3,0.8617,0.0037,0.1310,35066,0.8402,0.9570
agnews,butter_fingers_sev3,C,coteaching,noisy,3,0.8730,0.0022,0.1310,35066,0.8689,0.9730
agnews,butter_fingers_sev3,C,erm,clean,3,0.8502,0.0026,0.1310,35066,0.8191,0.9477
agnews,butter_fingers_sev3,C,erm,noisy,3,0.8663,0.0020,0.1310,35066,0.8632,0.9688
agnews,butter_fingers_sev3,S,coteaching,clean,3,0.8688,0.0010,0.2181,50000,0.8605,0.9568
agnews,butter_fingers_sev3,S,coteaching,noisy,3,0.8800,0.0017,0.2181,50000,0.8716,0.9707
agnews,butter_fingers_sev3,S,erm,clean,3,0.8532,0.0083,0.2181,50000,0.8395,0.9493
agnews,butter_fingers_sev3,S,erm,noisy,3,0.8702,0.0028,0.2181,50000,0.8775,0.9626
agnews,butter_fingers_sev5,C,coteaching,clean,3,0.6680,0.0152,0.4381,35066,0.6205,0.7993
agnews,butter_fingers_sev5,C,coteaching,noisy,3,0.7521,0.0114,0.4381,35066,0.7393,0.9393
agnews,butter_fingers_sev5,C,erm,clean,3,0.6383,0.0054,0.4381,35066,0.5949,0.7118
agnews,butter_fingers_sev5,C,erm,noisy,3,0.7178,0.0256,0.4381,35066,0.6661,0.8842
agnews,butter_fingers_sev5,S,coteaching,clean,3,0.6495,0.0077,0.4661,50000,0.5926,0.7642
agnews,butter_fingers_sev5,S,coteaching,noisy,3,0.7788,0.0092,0.4661,50000,0.7789,0.9333
agnews,butter_fingers_sev5,S,erm,clean,3,0.6459,0.0375,0.4661,50000,0.5730,0.7307
agnews,butter_fingers_sev5,S,erm,noisy,3,0.7611,0.0124,0.4661,50000,0.6818,0.9247
agnews,front_truncation_sev1,C,coteaching,clean,3,0.8743,0.0021,0.0250,35066,0.8672,0.9726
agnews,front_truncation_sev1,C,coteaching,noisy,3,0.8794,0.0013,0.0250,35066,0.8775,0.9742
agnews,front_truncation_sev1,C,erm,clean,3,0.8681,0.0025,0.0250,35066,0.8598,0.9693
agnews,front_truncation_sev1,C,erm,noisy,3,0.8702,0.0009,0.0250,35066,0.8716,0.9675
agnews,front_truncation_sev1,S,coteaching,clean,3,0.8875,0.0016,0.1311,50000,0.8758,0.9684
agnews,front_truncation_sev1,S,coteaching,noisy,3,0.8896,0.0012,0.1311,50000,0.8733,0.9679
agnews,front_truncation_sev1,S,erm,clean,3,0.8767,0.0016,0.1311,50000,0.8767,0.9593
agnews,front_truncation_sev1,S,erm,noisy,3,0.8775,0.0004,0.1311,50000,0.8832,0.9540
agnews,front_truncation_sev3,C,coteaching,clean,3,0.8647,0.0022,0.0754,35066,0.8405,0.9619
agnews,front_truncation_sev3,C,coteaching,noisy,3,0.8721,0.0016,0.0754,35066,0.8604,0.9667
agnews,front_truncation_sev3,C,erm,clean,3,0.8543,0.0028,0.0754,35066,0.8458,0.9547
agnews,front_truncation_sev3,C,erm,noisy,3,0.8630,0.0034,0.0754,35066,0.8558,0.9572
agnews,front_truncation_sev3,S,coteaching,clean,3,0.8737,0.0019,0.1751,50000,0.8630,0.9558
agnews,front_truncation_sev3,S,coteaching,noisy,3,0.8800,0.0025,0.1751,50000,0.8651,0.9632
agnews,front_truncation_sev3,S,erm,clean,3,0.8642,0.0013,0.1751,50000,0.8474,0.9554
agnews,front_truncation_sev3,S,erm,noisy,3,0.8734,0.0029,0.1751,50000,0.8712,0.9616
agnews,front_truncation_sev5,C,coteaching,clean,3,0.8483,0.0018,0.1773,35066,0.8628,0.9404
agnews,front_truncation_sev5,C,coteaching,noisy,3,0.8629,0.0017,0.1773,35066,0.8640,0.9568
agnews,front_truncation_sev5,C,erm,clean,3,0.8375,0.0008,0.1773,35066,0.8502,0.9219
agnews,front_truncation_sev5,C,erm,noisy,3,0.8549,0.0035,0.1773,35066,0.8539,0.9453
agnews,front_truncation_sev5,S,coteaching,clean,3,0.8543,0.0014,0.2647,50000,0.8619,0.9382
agnews,front_truncation_sev5,S,coteaching,noisy,3,0.8726,0.0009,0.2647,50000,0.8691,0.9419
agnews,front_truncation_sev5,S,erm,clean,3,0.8430,0.0068,0.2647,50000,0.8614,0.9051
agnews,front_truncation_sev5,S,erm,noisy,3,0.8616,0.0013,0.2647,50000,0.8730,0.9328
mnist,canny_edges_sev1,C,coteaching,clean,3,0.8883,0.0094,0.3097,26107,0.9493,0.8056
mnist,canny_edges_sev1,C,coteaching,noisy,3,0.9412,0.0125,0.3097,26107,0.9776,0.9242
mnist,canny_edges_sev1,C,dividemix,clean,3,0.9107,0.0340,0.3097,26107,0.9864,0.7357
mnist,canny_edges_sev1,C,dividemix,noisy,3,0.9025,0.0142,0.3097,26107,0.9327,0.8940
mnist,canny_edges_sev1,C,erm,clean,3,0.8506,0.0167,0.3097,26107,0.9503,0.7231
mnist,canny_edges_sev1,C,erm,noisy,3,0.9223,0.0239,0.3097,26107,0.9680,0.8949
mnist,canny_edges_sev1,S,coteaching,clean,3,0.9011,0.0065,0.3203,27000,0.9677,0.8441
mnist,canny_edges_sev1,S,coteaching,noisy,3,0.9400,0.0113,0.3203,27000,0.9803,0.9542
mnist,canny_edges_sev1,S,dividemix,clean,3,0.8881,0.0363,0.3203,27000,0.9769,0.6514
mnist,canny_edges_sev1,S,dividemix,noisy,3,0.9174,0.0184,0.3203,27000,0.9480,0.8808
mnist,canny_edges_sev1,S,erm,clean,3,0.8527,0.0045,0.3203,27000,0.9224,0.7383
mnist,canny_edges_sev1,S,erm,noisy,3,0.9126,0.0356,0.3203,27000,0.9354,0.9181
mnist,fog_sev5,C,coteaching,clean,3,0.9695,0.0056,0.3845,26107,0.9830,0.9880
mnist,fog_sev5,C,coteaching,noisy,3,0.9658,0.0022,0.3845,26107,0.9908,0.9847
mnist,fog_sev5,C,dividemix,clean,3,0.9632,0.0146,0.3845,26107,0.9867,0.9821
mnist,fog_sev5,C,dividemix,noisy,3,0.9745,0.0062,0.3845,26107,0.9949,0.9824
mnist,fog_sev5,C,erm,clean,3,0.9452,0.0038,0.3845,26107,0.9810,0.9580
mnist,fog_sev5,C,erm,noisy,3,0.9370,0.0098,0.3845,26107,0.9752,0.9571
mnist,fog_sev5,S,coteaching,clean,3,0.9671,0.0028,0.3927,27000,0.9864,0.9859
mnist,fog_sev5,S,coteaching,noisy,3,0.9650,0.0022,0.3927,27000,0.9847,0.9865
mnist,fog_sev5,S,dividemix,clean,3,0.9717,0.0026,0.3927,27000,0.9888,0.9894
mnist,fog_sev5,S,dividemix,noisy,3,0.9674,0.0120,0.3927,27000,0.9946,0.9827
mnist,fog_sev5,S,erm,clean,3,0.9442,0.0022,0.3927,27000,0.9663,0.9727
mnist,fog_sev5,S,erm,noisy,3,0.9391,0.0124,0.3927,27000,0.9585,0.9559
mnist,glass_blur_sev5,C,coteaching,clean,3,0.4378,0.0668,0.7113,26107,0.5099,0.9483
mnist,glass_blur_sev5,C,coteaching,noisy,3,0.4501,0.0247,0.7113,26107,0.8194,0.9903
mnist,glass_blur_sev5,C,dividemix,clean,3,0.4891,0.0260,0.7113,26107,0.5711,0.9574
mnist,glass_blur_sev5,C,dividemix,noisy,3,0.5721,0.0254,0.7113,26107,0.7558,0.9824
mnist,glass_blur_sev5,C,erm,clean,3,0.4790,0.0221,0.7113,26107,0.4874,0.9698
mnist,glass_blur_sev5,C,erm,noisy,3,0.5946,0.0194,0.7113,26107,0.7303,0.9838
mnist,glass_blur_sev5,S,coteaching,clean,3,0.4510,0.0455,0.7158,27000,0.7299,0.9698
mnist,glass_blur_sev5,S,coteaching,noisy,3,0.4508,0.0078,0.7158,27000,0.8949,0.9930
mnist,glass_blur_sev5,S,dividemix,clean,3,0.4641,0.0286,0.7158,27000,0.4993,0.9609
mnist,glass_blur_sev5,S,dividemix,noisy,3,0.5645,0.0089,0.7158,27000,0.6333,0.9803
mnist,glass_blur_sev5,S,erm,clean,3,0.4904,0.0139,0.7158,27000,0.5646,0.9709
mnist,glass_blur_sev5,S,erm,noisy,3,0.5978,0.0203,0.7158,27000,0.7435,0.9786
mnist,impulse_noise_sev5,C,coteaching,clean,3,0.7801,0.0196,0.4818,26107,0.9313,0.3413
mnist,impulse_noise_sev5,C,coteaching,noisy,3,0.8883,0.0102,0.4818,26107,0.9405,0.9169
mnist,impulse_noise_sev5,C,dividemix,clean,3,0.7909,0.0322,0.4818,26107,0.9908,0.2546
mnist,impulse_noise_sev5,C,dividemix,noisy,3,0.9457,0.0002,0.4818,26107,0.9687,0.9727
mnist,impulse_noise_sev5,C,erm,clean,3,0.7867,0.0160,0.4818,26107,0.8898,0.6793
mnist,impulse_noise_sev5,C,erm,noisy,3,0.9400,0.0165,0.4818,26107,0.9687,0.9744
mnist,impulse_noise_sev5,S,coteaching,clean,3,0.7523,0.0467,0.4890,27000,0.9350,0.2990
mnist,impulse_noise_sev5,S,coteaching,noisy,3,0.8711,0.0324,0.4890,27000,0.9520,0.8370
mnist,impulse_noise_sev5,S,dividemix,clean,3,0.8036,0.0891,0.4890,27000,0.9361,0.1850
mnist,impulse_noise_sev5,S,dividemix,noisy,3,0.9522,0.0103,0.4890,27000,0.9643,0.9686
mnist,impulse_noise_sev5,S,erm,clean,3,0.7619,0.0395,0.4890,27000,0.8942,0.4220
mnist,impulse_noise_sev5,S,erm,noisy,3,0.9373,0.0056,0.4890,27000,0.9765,0.9492
mnist,rotate_sev5,C,coteaching,clean,3,0.5277,0.0437,0.6384,26107,0.9935,0.8382
mnist,rotate_sev5,C,coteaching,noisy,3,0.8451,0.0009,0.6384,26107,0.9874,0.8508
mnist,rotate_sev5,C,dividemix,clean,3,0.5885,0.0805,0.6384,26107,0.9918,0.9248
mnist,rotate_sev5,C,dividemix,noisy,3,0.9439,0.0065,0.6384,26107,0.9918,0.9598
mnist,rotate_sev5,C,erm,clean,3,0.5120,0.0108,0.6384,26107,0.9881,0.8584
mnist,rotate_sev5,C,erm,noisy,3,0.9410,0.0039,0.6384,26107,0.9878,0.9768
mnist,rotate_sev5,S,coteaching,clean,3,0.5394,0.0336,0.6398,27000,0.9881,0.8843
mnist,rotate_sev5,S,coteaching,noisy,3,0.8475,0.0412,0.6398,27000,0.9782,0.9483
mnist,rotate_sev5,S,dividemix,clean,3,0.5232,0.0375,0.6398,27000,0.9888,0.8423
mnist,rotate_sev5,S,dividemix,noisy,3,0.9533,0.0025,0.6398,27000,0.9932,0.9903
mnist,rotate_sev5,S,erm,clean,3,0.4852,0.0195,0.6398,27000,0.9915,0.8587
mnist,rotate_sev5,S,erm,noisy,3,0.9484,0.0069,0.6398,27000,0.9912,0.9756
