condition=ours_v2_clean__glass_blur_sev3 seed=1 gpu=1
/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
image_source=clean  N_train=22500  noise_rate=64.68%
  ep   0: acc1=21.89%  acc2=18.78%  ens=20.34%  (best 20.34 @ ep 0)  [8.4s]
  ep  74: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [24.3s]
  ep  75: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [27.4s]  [w on clean=0.225, on noisy=0.497]
  ep  76: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.4s]
  ep  77: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.4s]
  ep  78: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.4s]
  ep  79: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.9s]
  ep  80: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.2s]
  ep  81: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.0s]
  ep  82: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.0s]
  ep  83: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.7s]
  ep  84: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.4s]
  ep  85: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.7s]
  ep  86: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.3s]
  ep  87: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [24.6s]
  ep  88: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.4s]
  ep  89: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.1s]
  ep  90: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.8s]
  ep  91: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.5s]
  ep  92: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.6s]
  ep  93: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [31.9s]
  ep  94: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.2s]
  ep  95: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [27.9s]
  ep  96: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.4s]
  ep  97: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.2s]
  ep  98: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.7s]
  ep  99: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [26.7s]  [w on clean=0.225, on noisy=0.497]

saved /path/to/ciln-workspace/journal_edition/robustness_transfer/results_v4/dividemix/ours_v2_clean__glass_blur_sev3__seed1.json: best ens-acc 32.15% @ ep 9
