condition=ours_v2_noisy__glass_blur_sev3 seed=2 gpu=2
/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
image_source=noisy  N_train=22500  noise_rate=64.68%
  ep   0: acc1=25.40%  acc2=15.64%  ens=20.52%  (best 20.52 @ ep 0)  [8.5s]
  ep  14: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.2s]
  ep  15: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [61.3s]
  ep  16: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.6s]
  ep  17: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.8s]
  ep  18: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [85.7s]
  ep  19: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.2s]
  ep  20: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [26.0s]  [w on clean=0.225, on noisy=0.497]
  ep  21: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [46.8s]
  ep  22: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.4s]
  ep  23: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [25.4s]
  ep  24: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [28.1s]
  ep  25: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.7s]
  ep  26: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [50.4s]
  ep  27: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [28.7s]
  ep  28: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.0s]
  ep  29: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [34.0s]
  ep  30: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [26.0s]  [w on clean=0.225, on noisy=0.497]
  ep  31: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.7s]
  ep  32: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.5s]
  ep  33: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.5s]
  ep  34: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.9s]
  ep  35: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [53.0s]
  ep  36: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.4s]
  ep  37: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.4s]
  ep  38: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [51.6s]
  ep  39: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.6s]
  ep  40: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.3s]
  ep  41: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [26.0s]
  ep  42: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.8s]
  ep  43: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [24.3s]
  ep  44: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.3s]
  ep  45: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.4s]
  ep  46: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [27.4s]
  ep  47: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [25.1s]
  ep  48: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.5s]
  ep  49: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [37.2s]
  ep  50: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [26.0s]  [w on clean=0.225, on noisy=0.497]
  ep  51: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [31.4s]
  ep  52: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.8s]
  ep  53: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.9s]
  ep  54: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [25.7s]
  ep  55: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.1s]
  ep  56: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.5s]
  ep  57: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [48.3s]
  ep  58: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [24.3s]
  ep  59: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [24.0s]
  ep  60: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.5s]
  ep  61: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [24.0s]
  ep  62: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [38.0s]
  ep  63: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.6s]
  ep  64: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.6s]
  ep  65: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [27.4s]
  ep  66: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.4s]
  ep  67: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.7s]
  ep  68: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [27.2s]
  ep  69: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.7s]
  ep  70: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [36.5s]
  ep  71: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [50.9s]
  ep  72: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.1s]
  ep  73: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [21.8s]
  ep  74: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [25.6s]
  ep  75: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [26.4s]  [w on clean=0.225, on noisy=0.497]
  ep  76: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [84.6s]
  ep  77: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [158.8s]
  ep  78: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [29.9s]
  ep  79: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.2s]
  ep  80: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [40.3s]
  ep  81: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [115.9s]
  ep  82: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.1s]
  ep  83: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.5s]
  ep  84: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [24.3s]
  ep  85: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.3s]
  ep  86: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.1s]
  ep  87: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [37.6s]
  ep  88: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.9s]
  ep  89: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.3s]
  ep  90: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [28.3s]
  ep  91: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.3s]
  ep  92: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.9s]
  ep  93: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [124.5s]
  ep  94: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.9s]
  ep  95: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.5s]
  ep  96: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [34.6s]
  ep  97: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [24.4s]
  ep  98: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [22.6s]
  ep  99: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [28.8s]  [w on clean=0.225, on noisy=0.497]

saved /path/to/ciln-workspace/journal_edition/robustness_transfer/results_v4/dividemix/ours_v2_noisy__glass_blur_sev3__seed2.json: best ens-acc 31.09% @ ep 8
