epoch,lr,train_loss,train_acc,val_loss,val_acc,wall_sec
73,0.001,0.0000,1.0000,0.0256,0.9943,5.2
74,0.001,0.0000,1.0000,0.0263,0.9943,4.7
75,0.001,0.0000,1.0000,0.0276,0.9950,4.7
76,0.001,0.0000,1.0000,0.0281,0.9947,4.5
77,0.001,0.0140,0.9994,0.0520,0.9903,4.5
78,0.001,0.0109,0.9991,0.0383,0.9910,4.3
79,0.001,0.0020,1.0000,0.0307,0.9923,4.3
80,0.001,0.0008,1.0000,0.0284,0.9943,4.7
81,0.001,0.0004,1.0000,0.0262,0.9940,5.4
82,0.000991667,0.0001,1.0000,0.0241,0.9943,5.0
83,0.000983333,0.0001,1.0000,0.0253,0.9943,5.0
84,0.000975,0.0001,1.0000,0.0241,0.9943,4.6
85,0.000966667,0.0001,1.0000,0.0253,0.9950,4.8
86,0.000958333,0.0000,1.0000,0.0248,0.9940,4.8
87,0.00095,0.0000,1.0000,0.0251,0.9947,4.6
88,0.000941667,0.0000,1.0000,0.0256,0.9940,4.3
89,0.000933333,0.0000,1.0000,0.0261,0.9943,4.5
90,0.000925,0.0000,1.0000,0.0264,0.9943,4.5
91,0.000916667,0.0000,1.0000,0.0241,0.9950,4.3
92,0.000908333,0.0000,1.0000,0.0258,0.9950,4.3
93,0.0009,0.0000,1.0000,0.0257,0.9947,4.3
94,0.000891667,0.0000,1.0000,0.0274,0.9943,4.7
95,0.000883333,0.0000,1.0000,0.0258,0.9947,5.0
96,0.000875,0.0000,1.0000,0.0263,0.9947,4.7
97,0.000866667,0.0043,0.9998,0.0885,0.9837,4.3
98,0.000858333,0.0163,0.9989,0.0231,0.9937,5.2
99,0.00085,0.0016,1.0000,0.0168,0.9947,4.9
100,0.000841667,0.0004,1.0000,0.0171,0.9950,5.1
101,0.000833333,0.0001,1.0000,0.0170,0.9947,5.2
102,0.000825,0.0001,1.0000,0.0169,0.9947,5.3
103,0.000816667,0.0001,1.0000,0.0184,0.9953,5.0
104,0.000808333,0.0001,1.0000,0.0167,0.9953,4.7
105,0.0008,0.0001,1.0000,0.0181,0.9950,4.4
106,0.000791667,0.0000,1.0000,0.0191,0.9943,4.6
107,0.000783333,0.0001,1.0000,0.0189,0.9947,4.6
108,0.000775,0.0000,1.0000,0.0177,0.9957,4.6
109,0.000766667,0.0000,1.0000,0.0187,0.9950,4.7
110,0.000758333,0.0000,1.0000,0.0182,0.9953,4.4
111,0.00075,0.0000,1.0000,0.0182,0.9943,4.3
112,0.000741667,0.0000,1.0000,0.0188,0.9947,4.5
113,0.000733333,0.0000,1.0000,0.0189,0.9953,4.6
114,0.000725,0.0000,1.0000,0.0195,0.9947,4.9
115,0.000716667,0.0000,1.0000,0.0206,0.9947,5.0
116,0.000708333,0.0000,1.0000,0.0196,0.9950,5.2
117,0.0007,0.0000,1.0000,0.0189,0.9950,4.4
118,0.000691667,0.0000,1.0000,0.0195,0.9953,4.5
119,0.000683333,0.0001,1.0000,0.0340,0.9920,4.4
120,0.000675,0.0063,0.9997,0.0465,0.9907,5.0
121,0.000666667,0.0058,0.9997,0.0588,0.9873,4.4
122,0.000658333,0.0019,0.9999,0.0309,0.9927,4.8
123,0.00065,0.0002,1.0000,0.0311,0.9927,4.8
124,0.000641667,0.0002,1.0000,0.0293,0.9920,5.0
125,0.000633333,0.0002,1.0000,0.0252,0.9933,4.6
126,0.000625,0.0001,1.0000,0.0275,0.9923,4.4
127,0.000616667,0.0001,1.0000,0.0268,0.9937,4.4
128,0.000608333,0.0000,1.0000,0.0269,0.9933,4.8
129,0.0006,0.0000,1.0000,0.0278,0.9940,4.5
130,0.000591667,0.0000,1.0000,0.0282,0.9930,4.6
131,0.000583333,0.0000,1.0000,0.0269,0.9937,4.6
132,0.000575,0.0000,1.0000,0.0266,0.9940,4.4
133,0.000566667,0.0000,1.0000,0.0263,0.9943,4.8
134,0.000558333,0.0000,1.0000,0.0263,0.9943,4.4
135,0.00055,0.0000,1.0000,0.0262,0.9940,4.9
136,0.000541667,0.0000,1.0000,0.0274,0.9937,5.0
137,0.000533333,0.0000,1.0000,0.0274,0.9940,5.0
138,0.000525,0.0000,1.0000,0.0277,0.9930,5.0
139,0.000516667,0.0000,1.0000,0.0274,0.9927,5.0
140,0.000508333,0.0000,1.0000,0.0270,0.9930,5.1
141,0.0005,0.0000,1.0000,0.0276,0.9933,5.2
142,0.000491667,0.0000,1.0000,0.0280,0.9930,5.4
143,0.000483333,0.0000,1.0000,0.0275,0.9927,5.2
144,0.000475,0.0000,1.0000,0.0289,0.9930,5.0
145,0.000466667,0.0000,1.0000,0.0285,0.9940,5.0
146,0.000458333,0.0000,1.0000,0.0283,0.9937,4.9
147,0.00045,0.0000,1.0000,0.0284,0.9930,5.0
148,0.000441667,0.0000,1.0000,0.0280,0.9940,4.8
149,0.000433333,0.0000,1.0000,0.0281,0.9943,4.8
150,0.000425,0.0000,1.0000,0.0288,0.9943,4.8
151,0.000416667,0.0000,1.0000,0.0285,0.9940,5.1
152,0.000408333,0.0000,1.0000,0.0269,0.9940,5.1
153,0.0004,0.0000,1.0000,0.0288,0.9943,5.1
154,0.000391667,0.0000,1.0000,0.0286,0.9940,5.0
155,0.000383333,0.0000,1.0000,0.0291,0.9947,5.0
156,0.000375,0.0000,1.0000,0.0290,0.9943,4.8
157,0.000366667,0.0000,1.0000,0.0292,0.9950,4.5
158,0.000358333,0.0000,1.0000,0.0296,0.9943,4.3
159,0.00035,0.0000,1.0000,0.0316,0.9937,4.5
160,0.000341667,0.0000,1.0000,0.0300,0.9943,4.7
161,0.000333333,0.0000,1.0000,0.0295,0.9937,4.4
162,0.000325,0.0000,1.0000,0.0300,0.9937,4.4
163,0.000316667,0.0000,1.0000,0.0332,0.9937,4.4
164,0.000308333,0.0000,1.0000,0.0308,0.9937,4.3
165,0.0003,0.0000,1.0000,0.0351,0.9930,4.5
166,0.000291667,0.0002,0.9999,0.0500,0.9903,4.3
167,0.000283333,0.0018,0.9999,0.0471,0.9927,4.4
168,0.000275,0.0007,1.0000,0.0397,0.9927,4.8
169,0.000266667,0.0001,1.0000,0.0374,0.9937,4.4
170,0.000258333,0.0001,1.0000,0.0396,0.9930,4.5
171,0.00025,0.0000,1.0000,0.0382,0.9930,4.3
172,0.000241667,0.0000,1.0000,0.0373,0.9930,4.5
173,0.000233333,0.0000,1.0000,0.0377,0.9930,4.3
174,0.000225,0.0000,1.0000,0.0379,0.9930,4.6
175,0.000216667,0.0000,1.0000,0.0376,0.9930,4.8
176,0.000208333,0.0000,1.0000,0.0362,0.9940,4.4
177,0.0002,0.0000,1.0000,0.0376,0.9933,4.4
178,0.000191667,0.0000,1.0000,0.0374,0.9933,4.5
179,0.000183333,0.0000,1.0000,0.0384,0.9933,4.4
180,0.000175,0.0000,1.0000,0.0360,0.9943,4.5
181,0.000166667,0.0000,1.0000,0.0361,0.9930,4.8
182,0.000158333,0.0000,1.0000,0.0403,0.9933,4.6
183,0.00015,0.0000,1.0000,0.0372,0.9937,4.8
184,0.000141667,0.0000,1.0000,0.0359,0.9933,4.5
185,0.000133333,0.0000,1.0000,0.0366,0.9937,4.6
186,0.000125,0.0000,1.0000,0.0354,0.9943,4.6
187,0.000116667,0.0000,1.0000,0.0342,0.9937,4.6
188,0.000108333,0.0000,1.0000,0.0337,0.9940,4.5
189,0.0001,0.0000,1.0000,0.0351,0.9943,4.7
190,9.16667e-05,0.0000,1.0000,0.0352,0.9947,4.5
191,8.33333e-05,0.0000,1.0000,0.0355,0.9940,4.9
192,7.5e-05,0.0000,1.0000,0.0358,0.9940,4.9
193,6.66667e-05,0.0000,1.0000,0.0351,0.9943,4.5
194,5.83333e-05,0.0000,1.0000,0.0360,0.9937,4.4
195,5e-05,0.0000,1.0000,0.0363,0.9943,4.8
196,4.16667e-05,0.0000,1.0000,0.0352,0.9943,4.6
197,3.33333e-05,0.0000,1.0000,0.0359,0.9943,4.7
198,2.5e-05,0.0000,1.0000,0.0344,0.9950,4.5
199,1.66667e-05,0.0000,1.0000,0.0337,0.9947,4.3
200,8.33333e-06,0.0000,1.0000,0.0350,0.9943,4.4
